serial_number,start_date,end_date,duration,event,smart_5_raw,smart_9_raw,smart_187_raw,smart_197_raw,smart_198_raw,temp_mean,temp_max,temp_std,delta_smart_5_raw,delta_smart_196_raw,slope_smart_5_raw,slope_smart_196_raw,pending_present,age_years,log_age,health_risk_score
2140E5D8E1AF,2025-01-01,2025-03-31,89,0,0.0,25316.133333333335,0.0,0.0,0.0,35.94444444444444,37.0,0.6387681045247566,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1CA,2025-01-01,2025-03-31,89,0,0.0,26103.411111111112,0.0,0.0,0.0,35.833333333333336,42.0,2.207311084152398,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1CB,2025-01-01,2025-03-31,89,0,0.0,25936.455555555556,0.0,0.0,0.0,35.28888888888889,41.0,2.7778666652444577,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1CC,2025-01-01,2025-03-31,89,0,0.0,25940.266666666666,0.0,0.0,0.0,36.86666666666667,41.0,1.3515423288476112,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1CD,2025-01-01,2025-03-31,89,0,0.0,24682.044444444444,0.0,0.0,0.0,30.08888888888889,32.0,0.3842581436843289,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1CE,2025-01-01,2025-03-31,89,0,0.0,26543.833333333332,0.0,0.0,0.0,33.13333333333333,39.0,1.1274356350192092,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1CF,2025-01-01,2025-03-31,89,0,0.0,26082.633333333335,0.0,0.0,0.0,32.888888888888886,42.0,4.817662975261984,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1D0,2025-01-01,2025-03-31,89,0,0.0,26097.18888888889,0.0,0.0,0.0,35.82222222222222,41.0,1.8473872106769493,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1D3,2025-01-01,2025-03-31,89,0,0.0,25966.68888888889,0.0,0.0,0.0,35.9,42.0,1.9891371663781023,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
2140E5D8E1D4,2025-01-01,2025-03-31,89,0,0.0,26050.81111111111,0.0,0.0,0.0,35.955555555555556,42.0,2.4806410959495198,0.0,0.0,0.0,0.0,0,0.24383561643835616,4.499809670330265,0.0
